Title,Description,Company
Python Software Engineer,"We are seeking a talented Python Developer to join our team and work on developing software solutions that tackle complex challenges and drive innovation Youll have the opportunity to work in a stimulating environment where you can unleash your potential and expand your skills
The product is a marketing platform that allows you to connect large companies Adidas Puma Pfizer Calvin Klein Boss with influencers for an advertising campaign
Requirements
 3 years of experience in web development
 Strong knowledge and experience in designing and developing or Web solutions using Pythonrelated technologies
 Expert in Python with knowledge of Flask Jinja2
 Knowledge of MongoDB MsSQL
 Understanding of web technologies protocols and formats HTTP JSON REST principles
 Experience in Continuous Integration and Continuous Delivery practices using GitLab CICD and docker
 Clear understanding of AgileSCRUM methodology
 UpperIntermediate English both written and verbal
Responsibilities
 Design and develop software solutions that meet business needs and follow software development best practices and standards
 Proactively drive technical direction such as improving performance preventing issues refactoring the codebase
 Develop and implement considering architecture standards processes and tools
 Debug and troubleshoot technical issues
 Implement unit tests
We offer
 Providing freedom and initiative for decisionmaking
 Courses and education
 English courses twice a week
 Convenient and bright office located in Kyiv with generator and Starlink
 Strong corporate management and transparent strategy
 Unlimited area for selfdevelopment and personal growth
 A set of benefits like video games flexible working hours and high salary
 Regular team buildings",Devox Software
Python Developer,"WeSoftYou is a dynamic software development company that empowers businesses through innovative technology solutions With a talented team of experts we specialize in creating custom software that meets the unique needs of our clients Our focus on collaboration quality and agility ensures we deliver exceptional results helping businesses thrive in a competitive digital landscape At WeSoftYou we believe in building lasting partnerships and driving success together
We are seeking a skilled Backend Developer with strong expertise in Python Django and cloud technology AWS to join our dynamic team You will be responsible for building and maintaining backend services that support our clients web application architecture You will work closely with frontend developers to integrate userfacing elements and will ensure the application is scalable secure and efficient
Required Qualifications

Proficiency in Python 3 years of experience
 2 years of experience with Django REST framework
 Strong understanding of
AWS
services specifically EC2 S3 RDS and ElasticCache
 Experience with containerization tools particularly
Docker

 Knowledge of web server configuration and management specifically with Nginx

Familiarity with Gunicorn or similar application servers
 Understanding of RESTful APIs and web services integration
 Experience in version control systems eg Git
What We Offer
 Professional Growth opportunities
 Ambitious goals and interesting projects
 Regular  transparent performance review and feedback process
 18 working days of fully paid vacation
 Coverage of taxes and free tax reporting support by our Financial department
 Help with individual entrepreneurs questions and accounting support",WeSoftYou
PHP/Python Developer,"Treeum
 продуктова FinTechкомпанія Ми розробляємо платформи прості та зручні сервіси які дозволяють користувачам легко вибрати і замовити фінансові послуги
Зараз ми знаходимось у пошуках
PHPPython Developer
для роботи з нашим проектом SD  розробка функціоналу бренддетектор
Наші очікування
Досвід роботи з Python 1 рік
Досвід роботи з PHP 2 роки
Досвід роботи message brokers KAFKA RabbitMQ
Досвід роботи з БД PostgeSQL
Досвід проектування програмних рішень і написання докуметації
Досвід роботи з web scraping headless headless selenium nodejs
Досвід в написанні тестів
Буде плюсом
Знання інших мов програмування
Знання Docker
Досвід написання e2e тестів
Вміння розбиратися в чужому коді і процесах
Обовязки на посаді
Розробка API
Оптимізація продуктивності
Розробка нового функціоналу
Розробка задач в системі SalesDoubler
Участь в стендапах та плануванні
Оцінка задач
Що ми пропонуємо
Віддалений формат роботи  гібридний  в офісі м Київ  на вибір
Офіс open space поруч з метро Палац України
Достойний рівень заробітної плати
Оплачувану відпустку та лікарняні
Корпоративну програму бенефітів доступ до медичного страхування навчання чи інших категорій на вибір
Відкритість до нових ідей та персональний вплив на розвиток продуктів
Надсилайте Ваше резюме і поспілкуємося більш детально",Treeum
Senior Python (with React) Engineer,"Adaptiq is a technology hub specializing in building scaling and supporting RD teams for highend fastgrowing product companies in a wide range of industries
About the Product
The solutions and services developed by our client which is a global telecommunication provider are designed to address all aspects of modern communication needs They enable
customers and organizations to reach people easily through a single interface without worrying about longdistance codes or navigating lengthy IVR systems
These include a cloudbased PBX system the Tokomni app for streamlined communication an advanced interactive voice recognition IVR system smart IVR and voice messaging tools SMS capabilities telephony hardware DID numbers and global SIM cards
This extensive product suite is tailored to meet specific customer requirements providing significant benefits such as cost reduction enhanced workflow efficiency and improved communication with employees customers and global partners
About the Role
We are seeking a seasoned
Backend Python engineer with React
to join our highperformance engineering team to work on our SaaS telecom solution In this dynamic and agile environment you will drive innovation and excellence in product development to ensure customer satisfaction and products success
Key Responsibilities
Develop and maintain microservices ensuring they are robust scalable and efficient
Implement serverside logic ensuring high performance and responding to requests from the front
Design and implement RESTful or GraphQL APIs to support frontend and backend integrations
Database design and management SQL and NoSQL including schema design optimization and query performance tuning
Required Competence and Skills
5 years of experience with Python and Django
2 years of experience with React
Experience in design and implementing RESTful API
Experience in microservices and in eventdriven architecture
Experience in SaaS application
Proficient with SQL PostgreSQL
Experience with Docker
Nice to have skills
Experience with FreeSWITCH or PBX or Kamailio
Experience with React Native
Fimaliarity with with Kubernetes and Ansible
Familiarity with Jenkins GitLab CI CircleCI or Azure DevOps
Familiarity with ELK stack Splunk for log management
Why Us
We utilize a remote working model providing a powerful workstation and coworking space of your choice in case you need it
We offer a highly competitive package
We provide 20 days of vacation leave per calendar year plus official national holidays of a country you are based in
We prioritize the professional growth and wellbeing of our team members Hence we organize various social events throughout the year to foster connections and promote wellness",Adaptiq
Django Developer,"Lets start with what PLANEKS offers
0 Fast and comfortable hiring process
1 100 remote work opportunity and flexitime  choose working hours between
8002000
2 Manage your compensation  budget  Travel tickets Work equipment Health insurance Software Sport Training
3 Salary paid in USD  tax compensation Revision every 6 months We want everyone to be confident in what tomorrow brings
4 Everything to provide a good rest YES Paid vacation national holidays sick leavesand support in case of serious diseases NO overtime work on weekends
5 Regular feedback mentorship code review Friendly and professional team that supports you Well were proud of how we handle that So you can always count on us
6 Speaking clubs with a native speaker to constantly maintain your English level
7 No bureaucracy  transparent processes and flat management Working remotely means keeping things as simple as possible to work efficiently
We propose something more significant than a job PLANEKS means developing a new lifestyle for our colleagues and clients So take your part in it
This position supposes that you have the following knowledge and competencies
1 Software development experience 
at least 3 years is a must
 with
 Python and Django
 Other Python frameworks eg Flask
 PostgreSQL MySQL and MongoDB
 Celery Redis ElasticSearch
 Cloud providers DevOps CICD
 Unit integration E2E tests
2 Knowledge of REST and experience working with REST APIs
3 Experience with JS HTML CSS Usually
020
of activity
4 Communication skills in English good writing and speaking
You will deal and be responsible for
1 Develop support and maintain projects in Python  usually we create products from scratch but also have existing projects where the dev team should be extended And also we do not work with legacy codebases
2 Solve technical challenges  all our projects are different and youll never be bored with the same tasks every day so your acquisitive mind will have great challenges regularly
3 Take care of quality code test business features documentation  everyone enjoys working with clean readable code so it is important to keep it such
4 Participate in code reviews  usually it is crossreviews in the team or reviews by a senior person
5 Communicate with internal and external teams  were in touch with great minds  inventive clients and supportive colleagues
6 Improve your technical and soft skills  just a normal evolution ",PLANEKS
Automated Vehicle Control Engineer,"Наш партнер  інноваційна технологічна компанія що спеціалізується на розробці та імплементації передових рішень в області
Embedded систем
та
радіочастотної RF
інженерії Місія  просувати технологічний прогрес створюючи високоякісні та інноваційні продукти які задовольняють потреби клієнтів
Компанія пишається своєю корпоративною культурою яка підтримує інновації та співпрацю надаючи співробітникам можливості для професійного зростання та розвитку
Зараз компанія в пошуку досвідчених
Automated Vehicle Control Engineers
Основні вимоги
1 Досвід ідентифікації моделей динамічних систем
2 Розуміння динаміки лінійних систем
3 Досвід проектування та розробки контроллерів підлаштування параметрів за результатами тестів
4 Аналіз стабільності роботи контроллерів
5 Знання Matlab чи Python
Nice to have
1 Досвід розробки систем контролю для літальних апаратів
2 Досвід роботи в Airsim Gazebo
3 Практичний досвід налагодження електроніки
4 Знання C
5 Досвід оптимізації коду
Компанія пропонує конкурентну заробітну плату офіційне оформлення
 офісну форму роботи в мКиєві та бронь від мобілізації
Надсилайте своє резюме та долучайтесь до команди професіоналів",EverGreen Talent Partners
Senior Software Engineer,"In
Competera
 we are building a place where optimal pricing decisions can be made easily
We believe
that
AI technologies
will soon drive all challenging decisions and are capable of
helping
humans be better
 We are now looking for a
Senior Software Engineer
to help us turn business ideas into cuttingedge tech solutions that explicitly drive the product and the company towards its strategic direction
You could be a perfect match for the position if
You want to
Design and implement businessheavy components primarily within the domain of price optimization for retail ensuring that rich business domain logic is incorporated
Ensure that software development aligns with current product needs accommodating the frequency of changes in logic customizationextensibility requirements and uncertainty in solutions
Refactor existing components and architecture according to DDD principles
Introduce best development practices to the team and champion the adoption of methodologies that facilitate the creation of loosely coupled systems and code
Provide support and mentorship to less experienced team members including Machine Learning Engineers and Data Scientists in design decisionmaking processes
You have
Proficiency in Python
7 years of experience in Software Engineering
Proficiency in developing using Port  Adapters Clean ArchitectureOnion Architecture application architecture and other approaches for creating loosely coupled systems and code in dynamic business environments
Strong background in DomainDriven Design DDD principles and experience working in a
DDDstyle
environment
Experience in designing systems using collaborative modeling techniques such as Event Storming Event Modeling and Domain Storytelling etc
Deep understanding of ObjectOriented Programming OOP principles SOLID
Designing Microservices and experience with EventDriven Architecture EDA
Pleasant extras
Knowledge of another compiled language eg Go Rust Java
Experience with functional programming paradigms
Experience in building applications using Event Sourcing
Familiarity with Google Cloud
Previous work in a data product team Data Analytics Machine Learning
Basic knowledge of MLOps including an understanding of concepts such as Model Registry and the differences between Machine Learning and traditional Software Engineering
Soft skills
Businessoriented mindset with the ability to understand and communicate effectively with various stakeholders and domain experts
Willingness to delve into the problem domain of pricing and retail in detailReadiness to teach and mentor teammates to enhance their software engineering skills
Youre gonna love it and heres why
Rich innovative software stack freedom to choose the best suitable technologies
Remotefirst ideology freedom to operate from the home office or any suitable coworking
Flexible working hours we start from 8 to 11 am and no time tracking systems on
Regular performance and compensation reviews
Recurrent 11s and measurable OKRs
Indepth onboarding with a clear success track
Competera covers 70 of your trainingcourse fee
20 vacation days 15 days off and up to one week of paid Christmas holidays
20 business days of sick leave
Partial medical insurance coverage
We reimburse the cost of coworking
Drive innovations with us Be a Competerian",Competera
Senior Python Developer,"We are seeking a BackEnd developer who will be helping us by finding new and creative ways of using technology to help grow our clients businesses Along with creating and maintaining the rules engine and related software services you will be part of a dynamic and diverse team that loves collaborating knowledge sharing and challenging the status quo
About Project
Payabill is dedicated to creating a comprehensive financial solution for consumers by offering unsecured credit facilities through merchants This initiative aims to integrate seamlessly into the instore buying journey without requiring additional applications The solution includes merchant onboarding credit management and leveraging credit as a sales tool to boost customer spending Payabills streamlined processes for both merchants and customers realtime credit assessments and integration through QR codes and WhatsApp aim to revolutionize the retail experience The focus is on continuous customer engagement scalable architecture and global replicability
Tech Stack
Backend FastAPI Python
Front end JavaScript Reactjs
Dev Tools Git GitHub Docker Figma JIRA
Other JSON JavaScript Cognito Google Search chatGPT
Responsibilities
Develop features within our applications including collaborating on requirements definition prototyping design coding and testing
Investigate analysis and make recommendations to the team regarding technology improvements upgrades and modifications
Provide firsthand analysis and investigation for production environment concerns
Work directly with our Dev Manager Product Team Project Managers and other relevant stakeholders
Implement current best practice and agreed standards
Ensure that the release and defect management process and policies are followed
Appreciation for software craftsmanship quality security maintainability and performance
Contribute to all phases of the SDLC
Write welldesigned testable and efficient code
Daily Operations
Assist with production support where necessary and ensure log management process is followed
Ensure incidents are dealt with effectively efficiently and according to the policy and procedures
Ensure that deliverables are in line with business needs
Strive toward a zero defect count in deliverables and eliminate rework
Ensure communication to stakeholders and team members is clear and professional
Continuously improve your knowledge by growing and developing yourself
Musthave
5 years of handson back end development experience with Python and Django
Outstanding collaborative and communication skills
Ambition to work in a small highly productive team
Drive to keep up to date with new technologies
Excellent technical and communication skills
Develop features within our applications including collaborating on requirements definition prototyping design coding and automated testing
At least upperintermediate level of English",PYGIO
Senior Python Developer,"We are a leading Israeli IT company with 15 years of market experience and 8 years in Ukraine Officially registered in Ukraine Israel and Estonia we employ over 100 professionals worldwide Specializing in successful startup collaboration we offer services across ecommerce Fintech logistics and healthcare
Our client
is a financial solution designed for SMBs that turns manual monthly and quarterly reporting processes into automated ones
What you will do
 Take part in developing the backend of the DataRails SAAS application
 Develop and lead endtoend development of new features and services in a multiservice environment while maintaining high quality and standards
 Develop scalable web APIs implement sophisticated business logic and develop asynchronous services in a dataoriented scalable application
 Take part in a multidisciplinary team involving algorithmsfrontendUIDevOps
 Play a significant role in the entire development lifecycle from design to production
Key Requirements
 Bachelors degree in Computer Science or related field
 5 years of experience in software development in a SaaS company
 Fluent in Python Django
 Excellent knowledge and experience with building optimizing and maintaining largescale production systems
 Experience with writing unit tests and integration tests
 Experience with Relational DBs Postgres MSSQL
 Experience and familiarity with Cloud Architecture and services
 Excellent verbal and written communication skills Highlevel English is a must
 English UpperIntermediate or higher
Will be plus
 Familiarity with Azure
 Knowledge of RabbitMQ
 Knowledge of Celery
 Knowledge of Redis
 Knowledge of Excel AddIns
Interview stages
 HR Interview
 Tech interview
 Interview with Team Lead
 Interview with VP RD
 Reference check
 Offer
We offer
 Competitive performancebased salary
 Free English classes with a native speaker and external courses compensation
 PE support by professional accountants
 Regular teambuilding events conferences meetups and fun activities
 Many other benefits youll find out at the interview",YozmaTech
"Senior Full Stack Python(Flask)/React (80% BE, 20% FE)","Description
Project details
A Software as a Service SAAS platform is being developed specifically for regional publishers with a target audience under 45 years old who prefer to consume information digitally
The platform will focus on
Categorization Local Language Model LLM etc
Information related to various topics including people places cinema and sports
Content will be delivered through formats such as podcasts and newsletters
The startup has three founders and has secured funding up to the Series A round from venture capitalists
Responsibilities
The engineers will work directly with the founder and CTO to create the SaaS platform
The engineers will be expected to be part of the conceptual process as in giving feedback opinions and pushing back when necessary to make the right development decisions
Requirements
Professional experience of at least 5 years as a Fullstack engineer using Python Flask and ReactJS
Excellent problemsolving skills can think your way through issues proactively recognize project risks and are able to propose intelligent solutions
Experience with using AI or at least very interested in using AI and exploring it practical applications",nearshorefriends
Middle Python Developer,"Наша співпраця передбачає ремоут але тільки для кандидатів з м Дніпро
Про проєкт
Ми  продуктова команда що створює додаток здатний вилучати та структурувати дані зі сканованих чи фотодокументів
Ми пропонуємо
повне технічне оснащення MacBook додатковий монітор комфортне робоче місце
роботу тільки з передовими технологіями
8годинний
робочий день без овертаймів
компенсацію лікарняних відпусток
часткову компенсацію за спортзал
часткову компенсацію сертифікацій і конференцій
часткову компенсацію за заняття англійськоюнімецькою
Задачі
Впровадження мікросервісів з нуля
Впровадження алгоритмів обробки документів
Конфігурація взаємодії мікросервісів
Навички необхідні для роботи з продуктом
Глибоке знання Python 39 та досвід роботи з ним 4 роки
Досвід створення RESTful Web Services
Досвід роботи з design service API OpenAPI Swagger contracts
Досвід роботи з Docker OpenShiftKubernetes Jenkins
Досвід роботи з OCR
Рівень розмовноїписьмової англійської мови IntermediateB1
Ці навички стануть у нагоді
Коммерційний досвід і розуміння архітектури програми
Досвід роботи з MLDL
Досвід роботи з будьякими інструментами та фреймворками з відкритим кодом для глибокого навчання
Досвід роботи з реляційними та іншими БД OracleDB Postgresql Mongo etc
Досвід обробки PDF
Організаторські здібності
Етапи спілкування за вакансією
1 Діалог з Researcher у форматі переписки обговорюються виключно найважливіші питання
2 Виконання тестового завдання
3 Online call 15 хв перевірка рівня English 30 хв детальне обговорення вакансії з Recruiter
4 Технічна співбесіда з Team Lead та потенційним Tech onboarding guide
6090 хв
 етапи можуть змінюватись в ході спілкування але завжди лише з метою можливої подальшої співпраці
Прохання перед надсиланням CV уважно ознайомлюватись з деталями вакансії для збереження Вашого і нашого часу
Якщо інформація в CV співпадає з вимогами  Ви обовʼязково отримаєте фідбек",COMPARUS UA
Middle Python/Django developer,"Perfsol is looking for a
Strong
Middle PythonDjango developer
to design a multitenancy SaaS solution for an existing Django app that currently uses a fully isolated approach separate databases per customer The desired individual will help us amend our current data model to support one database for multiple tenants as well as implement backend code to ensure secure and reliable authentication  authorization for multiple tenants You will join the team of our customer located in the USA
The project is a business coordination software that automates core business processes core workflows like invoicing relationship management CRM visitor management procurement maintenance and inventory management and streamlines communications so that everyone has actionable and relevant information at their fingertips
Requirements
BSc in computer science or related education
3 years
of handson backend development experience
Experience with Django Django REST framework Postgres Python and Data Warehousing is important
Azure web apps Bitbucket pipeline for CICD Docker Redis
Past experience with building
SaaS applications
and
multitenancy databases
will be an advantage
Ability to work independently with minimum guidance
Confident spoken English  B2 or higher  you will communicate directly with the customer
Looking forward to your applications",Perfsol
Full Stack Python/React Developer,"Were looking for an experienced Full stack developer who specializes in Python and Reactjs and is excited to engineer highly performant missioncritical systems that are designed for agile development and rapid scaling
Our tech stack includes
Python Typescript ReactJS Redux Django App Engine Cloud Firestore Memcache Cloud Tasks Firebase BigQuery Elasticsearch and more
Required skills
 4 years of software engineering experience
 3 years of experience with Python and React
 UpperIntermediate B2 English
What You will do
Design develop test deploy maintain and improve
software with a strong focus on customerfacing features
We offer
 12 sick leaves and 18 paid vacation business days per year
 Comfortable work conditions including MacBook Pro and Dell monitor on each work place
 Smart environment  interesting projects from renowned clients
 Flexible work schedule
 Competitive salary according to the qualifications
 Guaranteed full workload during the term of the contract
 Corporate leisure activities
 Game lounge sport zones",Uvik Software
Senior Python Developer,"We are looking for a Senior Python Developer for a stable longterm project
Must have Python website scraping FastApi Websockets asynchronous programming objectoriented programming
Databases SQL Server Redis
Requirements
 Fluent English
 6 years of experience
Good to have but not mandatory Net C
Great communication team player hard worker having a sense of urgency
Working hours Israel  from Sunday to Thursday Friday Saturday days off
Sometimes needs to fix bugs during nights or weekends depending on the level of code  the better level the fewer issues
The project is about collecting and processing data for sports games to provide data as a service for other services
Its a datacollecting and processing platform there are a lot of parsing and scraping tasks
We are an out staff company working with a client for a long time looking for a new team member to make the team stronger
About Meduzzen
We are a team of developers focused on delivering highquality solutions to enhance business Our company provides outsourced and out staff services to reliable constant customers and startups We prefer to use unique solutions for the best expectations of the products implementation",Meduzzen
🐍 Стажер Python Developer для УНКД 🐍,"УНКД
 це унікальний проект що живе питанням розвитку високих технологій та захисту цифрових прав Ми прагнемо розбудовувати високотехнологічні процеси в Україні та зробити нашу державу лідером у сфері цифрових інновацій
 Ми шукаємо стажера Python Developer який хоче отримати досвід у створенні Telegramботів та роботі з API 
Що треба буде робити
Розробляти та вдосконалювати Telegramботи
Працювати з API для інтеграції зовнішніх сервісів
Брати участь у проектуванні та впровадженні нових функцій
Що ми пропонуємо
Дві тижні неоплачуваної стажування з можливістю навчитися новим технологіям та отримати практичний досвід
Після успішного завершення стажування  пропозиція оплачуваної роботи в нашій команді
Робота у творчій команді що працює над проєктами які мають реальний вплив на розвиток цифрових прав та високих технологій в Україні
Що ми очікуємо
Базові знання Python та бажання розвиватися у цій сфері
Інтерес до роботи з Telegramботами та API
Відповідальність бажання вчитися та працювати в команді
Це чудова можливість для молодих спеціалістів розпочати свою карєру в сфері розробки та стати частиною проектів що змінюють Україну на краще Якщо ти готовийа прийняти виклик та розвиватися разом з нами заповнюй анкету за кнопкою нижче ","ГО ""УНКД"""
💻 Волонтерська позиція: Middle/Senior FullStack (Node.js + Python) Developer для УНКД 💻,"УНКД
 це унікальний проект що живе питанням розвитку високих технологій та захисту цифрових прав Ми віримо що Україна повинна зайняти провідне місце серед найбільш технологічних держав світу Наша діяльність направлена на розбудову високотехнологічних процесів в нашій державі Ми не очікуємо на зміни ми і є рушієм змін
 Ми шукаємо досвідченого FullStack розробника Nodejs  Python для участі в разовому волонтерському проекті який спрямований на те щоб допомогти волонтерам легалізувати свою діяльність і заощадити кошти Наш безкоштовний сервіс дозволяє генерувати документи для реєстрації ГОБФ і завдяки йому було зареєстровано понад 300 організацій 
Що ми пропонуємо
Участь
у проекті що має реальний вплив на суспільство та допомагає розвивати високі технології в Україні
 Можливість зробити вагомий внесок у розбудову цифрового майбутнього нашої держави
 УНКД цінує творче мислення інтелект та наполегливість і ви отримаєте можливість реалізувати ці якості у нашій команді
Що ми очікуємо
Досвід роботи з Nodejs та Python на рівні MiddleSenior
Вміння аналізувати та виправляти існуючий код
Відповідальність та здатність працювати в швидкому ритмі
Бажання зробити внесок у розвиток суспільства працюючи на благо волонтерів та їх організацій
Це разовий проект але його вплив буде довготривалим Якщо ви готові приєднатися до нашої команди та внести свій вклад у розвиток цифрових прав та високих технологій в Україні ми чекаємо на вас","ГО ""УНКД"""
Middle/Senior Python Developer," 4 years of experience with Python3
 Proficiency in FastAPI REST APIs
 Experience with WebSockets for developing interactive applications
 Familiarity with SQLAlchemy for database operations particularly with PostgreSQL
 Experience using Alembic for managing database migrations
 Ability to work with Docker and Docker Compose for containerization and local deployment of applications
 Knowledge of Kubernetes for orchestrating and managing containerized applications
 Experience with Celery and Redis for asynchronous task processing
 Proficiency in Uvicorn for running web servers",WizardsDev
Senior Python Engineer (with Scraping) (#1820),"For our customer author of the most widely used solution to recover digital revenue we are looking for the Python engineer Over 1000 companies rely on their platform to fight counterfeits piracy impersonation and distribution abuse Company has 270 professionals and offices in New York Barcelona Beijing and Salt Lake City
We are looking for a
Senior Python Engineer
to get involved in our tracking technology libraries and hundreds of projects that use them helping us maintain our platform optimize it and further improve it
Requirements
5 years in a Python Developer position or similar
The ability to express complex ideas in spoken and written English is crucial as our team is made up of people of 5 different nationalities and it is the language in which we communicate
Good knowledge of Python with the ability to write idiomatic and reusable code
Experience in objectoriented design software architecture best practices and patterns and largescale application development with maintainability and extensibility in mind
Experience with web requests and Python request library
Experience with TDD testing best practices and methodologies pytest unittest mock and answers libraries
Experience using docker  dockercompose throughout the entire lifecycle including development testing debugging QA CI and deployment
Tech stack
Python AWS MySQL  SQLAlchemy Snowflake  Redshift Airflow  Celery  RabbitMQ  Luigi Redis Scrapy IDOL for data interfaces and schema Sepia config system
Nice to have
Understanding of the architecture of web applications including ajax websites and mastery of the development tools built into the browser for reverse engineering purposes
Inclination towards code optimizations algorithmic complexity memory usage
Proficiency in contributing to shared code bases using git
Efficient text processing with regular expressions and XML parsing
Experience with selenium  nodejs  phantomjs  splash or any similar software for scraping or automation purposes
We offer
Flexible working format  remote officebased or flexible
A competitive salary and good compensation package
Personalized career growth
Professional development tools mentorship program tech talks and trainings centers of excellence and more
Active tech communities with regular knowledge sharing
Education reimbursement
Memorable anniversary presents
Corporate events and team buildings
Other locationspecific benefits",N-iX
Senior Python Developer in Hosting Services Team,"Your expertise
At least 4 years of professional experience
Frameworks Proficiency in Django Flask FastAPI
Python ORMs Handson with SQLAlchemy Django ORM PonyORM or SQLObject
Deep understanding of Pythons asynchronous programming features
Handson experience with AWS services eg S3 Lambda RDS Forgate CloudWatch etc
Proficiency in designing developing and deploying mid  largescale applications
Understanding of clustering sharding and scaling techniques and principles
Experience with containerized applications Docker  Kubernetes
Experience in the testing frameworks Pytest Unittest etc
Strong understanding of automated CI  CD principles
Experience with OS Linux  Unix and understanding of network protocols DNS SMTP TCPIP HTTP TLS  SSL
Strong understanding of relational database engines MySQL and PSQL
Experience in event driven programming familiarity with one of the queue brokers Kafka RabbitMQ ZeroMQ SNSSQS etc
Personal skills
Motivated for personal development
Proactive
Good communication skills
Team player
Will definitely be a plus
Leadership or mentorship experience
Handson experience with Golang or any other compiled language
Experience with WebHosting control panels cPanel Plesk ISPConfig
Skills in developing SPA applications using Nodejs and HTML5
Production experience with MongoDB Elasticsearch ClickHouse InfluxDB Redis
High load
Contributing to public open source projects
Understanding of the machine learning principles
Whats in it for you
Opportunity to deal with topnotch technologies and approaches in a worldleader product company with millions of customers
Opportunity to make a difference for online privacy freedom of speech and net neutrality
Decent market rate compensation depending on experience and skills
Developed corporate culture no micromanagement culture based on principles of truth trust and transparency
You build it you own it mentality in most contexts
Support of personal and professional development
coverage of costs of external trainings conferences professional literature
support of experienced colleagues
inhouse events and trainings
regular knowledge sharing in teams
English classes and speaking clubs
Lifebalance support
truly flexible schedule no timetracking at all
25 working days of vacation
5 days of paid sick leave per month if necessary without providing a medical certificate
generous maternity leave program
Professionally strong environment friendly and open atmosphere ability to influence the product development and recognition for it
You will be involved into
Development and support of the Hosting microservices
Development and support internal SDK
Automation of processes
Design and Develop of the new features for internal and external clients
Stream a Service ownership
Code review
Be an active part of a team for Hosting product development
About the company and project
ZONE3000 is proud to represent its partnership with Namecheap 
wwwnamecheapcom
 Namecheap was founded in 2000 on the idea that all people deserve valuepriced domains delivered through stellar service Today Namecheap is a leading ICANNaccredited domain name registrar and web hosting company with over 13 million customers and 17 million domains under management  and were just getting started
Our culture is built on the values that we live every day the way we work the way we collaborate with our global network of colleagues and the way we relentlessly innovate solutions that meet the emerging needs of our customers
As a forwardthinking tech enterprise we specialize in crafting cuttingedge solutions in the realm of hosting and cloud services Guided by established frameworks and modern architectural approaches we consistently challenge the limits of technological potential Were excited to grow our skilled engineering team further
We are the Hosting Services Team and at the moment we are in the middle of creating new infrastructure for Shared Hosting as part of a huge company idea to rebuild
We need a teammate to share our passion to build and improve hosting product make it secure manageable and smart and easy for consuming
What Were Looking For
We are in search of an experienced Python Software Engineer who thrives in a dynamic fastpaced environment Youll be working on cuttingedge hosting microservices automating workflows and creating robust internal SDKs If you live and breathe Python have a knack for AWS services and are fascinated by the intricacies of system architecture youre the one were looking for",ZONE3000
Senior Python Developer in Virtual Services Team,"Your expertise
At least 4 years of professional experience
Frameworks Proficiency in Django Flask FastAPI
Python ORMs Handson with SQLAlchemy Django ORM PonyORM or SQLObject
Deep understanding of Pythons asynchronous programming features
Handson experience with AWS services eg S3 Lambda RDS Forgate Cloudwatch etc
Proficiency in designing developing and deploying mid  largescale applications
Understanding of clustering sharding and scaling techniques and principles
Experience with containerized applications Docker  Kubernetes
Experience in the testing frameworks Pytest Unittest etc
Strong understanding of automated CI  CD principles
Experience with OS Linux  Unix and understanding of network protocols DNS SMTP TCP  IP HTTP TLS  SSL
Strong understanding of relational database engines MySQL and PSQL
Expiriеnce in event driven programming familiarity with one of queue brokers Kafka RabbitMQ ZeroMQ SNSSQS etc
Personal skills
Motivated for personal development
Proactive
Good communication skills
Team player
Will definitely be a plus
Proficiency in Software Architecture Principles DDD Hex or Clean Architecture
CopilotGPT other AI helper tools usage
Familiarity with OpenStack community  services  codebase
Handson experience with Golang or any other compiled language
Skills in developing SPA applications using Nodejs and HTML5
Production experience with MongoDB Elasticsearch ClickHouse InfluxDB Redis
High load
Contributing to public open source projects
Whats in it for you
Opportunity to deal with topnotch technologies and approaches in a worldleader product company with millions of customers
Opportunity to make a difference for online privacy freedom of speech and net neutrality
Decent market rate compensation depending on experience and skills
Developed corporate culture no micromanagement culture based on principles of truth trust and transparency
You build it you own it mentality in most contexts
Support of personal and professional development
coverage of costs of external trainings conferences professional literature
support of experienced colleagues
inhouse events and trainings
regular knowledge sharing in teams
English classes and speaking clubs
Lifebalance support
truly flexible schedule no timetracking at all
25 working days of vacation
5 days of paid sick leave per month if necessary without providing a medical certificate
generous maternity leave program
Professionally strong environment friendly and open atmosphere ability to influence the product development and recognition for it
You will be involved into
Development and support of the Hosting microservices
Development and support internal SDK
Automation of processes
Design and Develop of the new features for internal and external clients
Stream a Service ownership
Code review
Be an active part of a team for Hosting product development
About the company and project
ZONE3000 is proud to represent its partnership with Namecheap 
wwwnamecheapcom
 Namecheap was founded in 2000 on the idea that all people deserve valuepriced domains delivered through stellar service Today Namecheap is a leading ICANNaccredited domain name registrar and web hosting company with over 13 million customers and 17 million domains under management  and were just getting started
Our culture is built on the values that we live every day the way we work the way we collaborate with our global network of colleagues and the way we relentlessly innovate solutions that meet the emerging needs of our customers
We are the Hosting team and at the moment we are in the middle of creating new VPS Hosting product as part of a huge company idea to rebuild Our robust scalable and userfriendly VPS Hosting product based on OpenStack is the first step on an ambitious journey to build fullyfunctional IaaS solution for our customers As a Python Engineer in our dynamic team youll play a pivotal role in developing and enhancing the core functionalities of our cloud infrastructure
What Were Looking For
We are in search of an experienced Python Software Engineer who thrives in a dynamic fastpaced environment Youll be working on cuttingedge hosting microservices automating workflows and creating robust internal SDKs If you live and breathe Python have a knack for AWS services and are fascinated by the intricacies of system architecture youre the one were looking for",ZONE3000
